Instruction_ID,Instruction,Missing_Tools,Score
110,"1. Retrieve the configuration of the PNML to XML transformation
2. Apply to /Users/zakariahachm/Down...",list_transformation_PNML2XML_tool | apply_PNML2XML_transformation_tool,0.00
111,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
114,"get configuration of the KM3 to EMF transformation
apply /Users/zakariahachm/Downloads/atl_zoo/RSS2A...",list_transformation_KM32EMF_tool,0.50
117,Transform '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to EMF and then Retrieve th...,apply_KM32EMF_transformation_tool | list_transformation_XML2KML_tool,0.00
118,Apply the KM3 to EMF transformation on /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi ...,list_transformation_Maven2Ant_tool | apply_KM32EMF_transformation_tool,0.00
119,"get configuration settings of the KM3 to DSL transformation
apply the XML to PetriNet transformation...",list_transformation_KM32DSL_tool,0.50
122,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
123,"- Retrieve the configuration settings for the transformation from KM3 to EMF.
- Retrieve the configu...",list_transformation_KM32EMF_tool,0.50
126,Show me the configuration settings of the first transformation and then show me the configuration se...,list_transformation_KM32EMF_tool,0.50
128,"Show me the configuration settings of the transformation that converts KM3 to EMF, then show me the ...",list_transformation_KM32EMF_tool,0.50
129,- apply the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mode...,apply_KM32EMF_transformation_tool | list_transformation_METAH2ACME_tool,0.00
130,Retrieve the configuration for the transformation from KM3 to EMF. Inspect the configuration for the...,list_transformation_KM32EMF_tool,0.50
131,"Get the configuration settings of the transformation that converts KM3 to DSL, and then Get the conf...",list_transformation_Ant2XML_tool,0.50
132,"Get the configuration of the KM3-to-EMF transformation.

Apply the KM3-to-Metrics transformation to ...",list_transformation_KM32EMF_tool,0.50
136,Convert the PNML model at path /Users/zakariahachm/Downloads/atl_zoo/Grafcet2PetriNet/Models/XML2PNM...,apply_PNML2XML_transformation_tool,0.50
137,"Retrieve the configuration settings of the KM3 to DSL transformation.
Apply '/Users/zakariahachm/Dow...",apply_XML2Make_transformation_tool,0.50
138,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an EMF ...,apply_KM32EMF_transformation_tool,0.50
140,"- Get the configuration of the KM3-to-DSL transformation
- Apply the configuration to the file /User...",apply_PrimaryKey_with_context_transformation_tool,0.50
143,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
144,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/DSLBridge/MetamodelBridge/Models/S...,list_transformation_Ant2XML_tool,0.50
145,"- Show me the configuration settings of the KM3-to-EMF transformation.
- Transform this file at path...",list_transformation_KM32EMF_tool,0.50
146,"Show me the configuration settings of the transformation that converts KM3 to EMF.
Show me the confi...",list_transformation_KM32EMF_tool | list_transformation_Make2Ant_tool,0.00
147,Transform /Users/zakariahachm/Downloads/atl_zoo/Grafcet2PetriNet/Models/XML2PNML_example.xmi to XML ...,apply_PNML2XML_transformation_tool,0.50
148,"1. Get configuration details for the KM3-to-DSL and XML-to-Ant transformations.
2. Apply to /Users/z...",apply_XML2Ant_transformation_tool,0.50
149,"- apply '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' Target: EMF
- get the configu...",apply_KM32EMF_transformation_tool | list_transformation_PetriNet2PathExp_tool,0.00
150,"- Retrieve the configuration of the KM3-to-DSL transformation.
- Retrieve the configuration of the F...",list_transformation_Families2Persons_tool,0.50
151,- Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF ...,apply_KM32EMF_transformation_tool | list_transformation_Make2Ant_tool,0.00
153,Transform the PNML file at /Users/zakariahachm/Downloads/atl_zoo/Grafcet2PetriNet/Models/XML2PNML_ex...,apply_PNML2XML_transformation_tool,0.50
156,Convert the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to the EMF mod...,apply_KM32EMF_transformation_tool,0.50
158,"Get the configuration of the KM3 to EMF transformation, then get the configuration of the XML to MyS...",list_transformation_KM32EMF_tool,0.50
159,1) Apply /Users/zakariahachm/Downloads/atl_zoo/Grafcet2PetriNet/Models/XML2PNML_example.xmi to an XM...,list_transformation_KM32OWL_tool | apply_PNML2XML_transformation_tool,0.00
160,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
162,Apply the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to EMF model a...,apply_KM32EMF_transformation_tool,0.50
163,"Retrieve the configuration settings of the transformation from KM3 to EMF, then retrieve the configu...",list_transformation_KM32EMF_tool,0.50
164,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/ DSLBridge/MetamodelBridge/Models/S...,list_transformation_PetriNet2PathExp_tool,0.50
165,"1. Show me the configuration of the DSL-to-KM3 transformation.
2. Apply '/Users/zakariahachm/Downloa...",list_transformation_KM32EMF_tool,0.50
166,Show the configuration of the transformation that converts KM3 to EMF. Then inspect the configuratio...,list_transformation_KM32EMF_tool,0.50
168,Apply the KM3 model located at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EM...,apply_KM32EMF_transformation_tool,0.50
170,"Get the configuration of the transformation KM3 to EMF.
Apply the PetriNet to PathExp transformation...",list_transformation_KM32EMF_tool,0.50
171,1) Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/DSLBridge/MetamodelBridge/Models...,list_transformation_RedundantInheritance_with_context_tool,0.50
172,Transform the KM3 model at path /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an...,apply_KM32EMF_transformation_tool,0.50
173,"Retrieve the configuration of the KM3-to-EMF transformation, and then retrieve the configuration of ...",list_transformation_KM32EMF_tool,0.50
174,"Get the configuration settings of the first transformation that converts KM3 to EMF, then get the co...",list_transformation_KM32EMF_tool,0.00
175,Transform the model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an EMF mode...,apply_KM32EMF_transformation_tool,0.50
177,Retrieve the configuration settings of the KM3 to EMF transformation and retrieve the configuration ...,list_transformation_KM32EMF_tool,0.50
178,"Get the configuration of the KM3-to-EMF transformation.
Apply the PathExp-to-PetriNet transformation...",list_transformation_KM32EMF_tool,0.50
179,Apply the KM3 to EMF transformation to '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi...,apply_KM32EMF_transformation_tool | list_transformation_MySQL2KM3_tool,0.00
182,"Retrieve the configuration of the KM3-to-EMF transformation
Retrieve the configuration of the PNML-t...",list_transformation_KM32EMF_tool,0.50
183,Transform the KM3 model at path /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an E...,apply_KM32EMF_transformation_tool,0.50
185,Apply the PNML-to-XML transformation to the file at '/Users/zakariahachm/Downloads/atl_zoo/Grafcet2P...,list_transformation_KM32DSL_tool,0.50
189,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
190,Transform the PNML model at '/Users/zakariahachm/Downloads/atl_zoo/Grafcet2PetriNet/Models/XML2PNML_...,list_transformation_XML2Ant_tool,0.50
191,"Get the configuration of the KM3-to-EMF transformation.
Apply the XML-to-RSS transformation to '/Use...",list_transformation_KM32EMF_tool,0.50
193,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
194,"Get the configuration settings of the transformation that converts PNML to XML.
Get the configuratio...",list_transformation_Families2Persons_tool,0.50
198,"Show me the configuration settings of the KM3-to-DSL transformation, and then show me the configurat...",list_transformation_KM32EMF_tool,0.50
200,- Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/DSLBridge/MetamodelBridge/Models/...,apply_XML2Ant_transformation_tool,0.50
SUMMARY,Transformations with issues (>3 times),KM32EMF(50) | PNML2XML(6) | XML2Ant(4) | Make2Ant(4),
ALL_MISSING_TOOLS,Unique missing tools across all failures,apply_Families2Persons_transformation_tool | apply_KM32EMF_transformation_tool | apply_Make2Ant_transformation_tool | apply_PNML2XML_transformation_tool | apply_Partial2totalRoleB_transformation_tool | apply_PrimaryKey_with_context_transformation_tool | apply_XML2Ant_transformation_tool | apply_XML2Make_transformation_tool | list_transformation_Ant2XML_tool | list_transformation_Families2Persons_tool | list_transformation_KM32DSL_tool | list_transformation_KM32EMF_tool | list_transformation_KM32OWL_tool | list_transformation_METAH2ACME_tool | list_transformation_Make2Ant_tool | list_transformation_Maven2Ant_tool | list_transformation_MySQL2KM3_tool | list_transformation_PNML2XML_tool | list_transformation_PetriNet2PathExp_tool | list_transformation_RedundantInheritance_with_context_tool | list_transformation_XML2Ant_tool | list_transformation_XML2KML_tool,
